"Gene" "Idx"
"858" "HLA-DQA1" "8447"
"859" "HLA-DQA2" "8448"
"860" "HLA-DQB2" "508"
"861" "HLA-DRA" "54494"
"862" "KCNN4" "12171"
"863" "LCP2" "25544"
"864" "MNDA" "3934"
"865" "NFATC2" "11709"
"866" "PAWR" "16690"
"867" "PDE4D" "64149"
"868" "PRKCB" "54711"
"869" "PRKCH" "54706"
"870" "PRNP" "22526"
"871" "PTEN" "51391"
"872" "PTPN2" "26853"
"873" "PTPRJ" "52369"
"874" "STK11" "17029"
"875" "THY1" "28212"
"876" "VASP" "61187"
"877" "SKAP1" "20296"
"878" "GRAP2" "26362"
"879" "LPXN" "23394"
"880" "THEMIS2" "6685"
"881" "BCAR1" "48757"
"882" "TESPA1" "17140"
"883" "RBCK1" "14738"
"884" "BTN3A1" "49185"
"885" "PRKD2" "17126"
"886" "TRAC" "44334"
"887" "PHPT1" "34670"
"888" "STOML2" "35135"
"889" "TRAT1" "18784"
"890" "SPG21" "424"
"891" "UBASH3A" "32706"
"892" "LAX1" "8496"
"893" "LIME1" "11819"
"894" "RNF31" "33195"
"895" "ENAH" "47975"
"896" "PAG1" "20813"
"897" "PLEKHA1" "62923"
"898" "CARD11" "47853"
"899" "NFAM1" "41501"
"900" "GCSAM" "60403"
"901" "THEMIS" "33113"
"902" "ADD1" "62159"
"903" "ALAS2" "19919"
"904" "ANK1" "32017"
"905" "BPGM" "47084"
"906" "DNASE2" "37676"
"907" "EPAS1" "46736"
"908" "EPB42" "43301"
"909" "EPO" "24146"
"910" "ETV2" "33579"
"911" "FANCC" "5054"
"912" "FECH" "3227"
"913" "G6PD" "37745"
"914" "HBZ" "35396"
"915" "HCLS1" "12791"
"916" "HOXB6" "30968"
"917" "INHA" "15219"
"918" "IREB2" "22319"
"919" "JAK2" "15148"
"920" "SMAD5" "18021"
"921" "MB" "1041"
"922" "NFE2L1" "48672"
"923" "SLC11A2" "56486"
"924" "PKNOX1" "43377"
"925" "RB1" "16481"
"926" "ARID4A" "55114"
"927" "RPS14" "52310"
"928" "RPS17" "52305"
"929" "RPS24" "12952"
"930" "SMARCA4" "53700"
"931" "SOD1" "59564"
"932" "TCEA1" "18060"
"933" "TGFBR3" "48732"
"934" "THRA" "4279"
"935" "TIMP1" "24139"
"936" "VEGFA" "31883"
"937" "DYRK3" "30997"
"938" "NCOR1" "42681"
"939" "PTBP3" "26084"
"940" "TRIM10" "45757"
"941" "MAEA" "24071"
"942" "KLF2" "15370"
"943" "KLF1" "15371"
"944" "ACIN1" "41009"
"945" "JMJD6" "20372"
"946" "NCSTN" "50667"
"947" "FLVCR1" "19394"
"948" "HIPK2" "35604"
"949" "EXOC6" "32010"
"950" "SLC25A38" "3604"
"951" "SOX6" "48864"
"952" "ATPIF1" "22520"
"953" "SFXN1" "40823"
